"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jul 14 05:42:05 GMT 2022","Thu Jul 14 05:42:05 GMT 2022","677","tests","test_lamda_steps","TestLambdaSteps","","","test_lambda_steps",""
"broken","Thu Jul 14 05:42:04 GMT 2022","Thu Jul 14 05:42:05 GMT 2022","684","tests","test_decorators","TestDecorators","","","test_decorators",""
"broken","Thu Jul 14 05:42:06 GMT 2022","Thu Jul 14 05:42:06 GMT 2022","679","tests","test_pure_selene","TestPureSelene","","","test_pure_selene",""
"broken","Thu Jul 14 05:42:03 GMT 2022","Thu Jul 14 05:42:04 GMT 2022","1193","tests","test_all_annotations","TestAllAnnotations","","","test_all_annotations",""
